filename,ecut,nkpts,alat,energy,total_force,cpu_time
Fe_bcc_5.1_9.out,50,70,5.1,-329.2489948,0,16.2
Fe_bcc_5.15_9.out,50,70,5.15,-329.2542228,0,25.6
Fe_bcc_5.2_9.out,50,70,5.2,-329.2582247,0,24.9
Fe_bcc_5.25_9.out,50,70,5.25,-329.2608885,0,26.7
Fe_bcc_5.3_9.out,50,70,5.3,-329.2623416,0,30
Fe_bcc_5.35_9.out,50,70,5.35,-329.2629139,0,26.9
Fe_bcc_5.4_9.out,50,70,5.4,-329.2627044,0,33
Fe_bcc_5.45_9.out,50,70,5.45,-329.2612571,0,34.1
