Compounds,Functional_Used,Functional_Used_Abb,Functional_1,Functional_2,Basis_Set,Basis_Set_Part_1,Basis_Set_Part_2,Total_DFT_Energy (Ha),Total_DFT_Energy (kcal/mol),Thermal Correction to Enthalpy (kcal/mol),Corrected Enthalpy,Formation_Enthalpy,Formation_Energy,Deviation_STD,CPU Time,Wall Time,CPU_Time_Sum,Output_File_Path,Geometry_Angle,Bond_Length
N2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-109.5596648,-68749.01831,5.443,-68743.57531,0,0,-100,12.4,13.1,0,./xpbe96 cpbe96_B3LYP/6-31+G*_6-311+G*/N2/N2.nwout,,1.1162
NH3,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-56.57335431,-35499.94955,23.573,-35476.37655,-9.559838716,-39.99836519,-12.95241526,20.9,21.7,36.4,./xpbe96 cpbe96_B3LYP/6-31+G*_6-311+G*/NH3/NH3.nwout,107.07,1.02575
H2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-1.175443932,-737.5945939,8.195,-729.3995939,0,0,-100,1.4,1.7,0,./xpbe96 cpbe96_B3LYP/6-311+G*_6-31+G*/H2/H2.nwout,,0.7504
N2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-109.5297687,-68730.25847,5.427,-68724.83147,0,0,-100,15.8,16.4,0,./xpbe96 cpbe96_B3LYP/6-311+G*_6-31+G*/N2/N2.nwout,,1.10714
NH3,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-56.55695325,-35489.65784,23.675,-35465.98284,-9.467712562,-39.61290936,-13.79127452,26.3,27.3,45.4,./xpbe96 cpbe96_B3LYP/6-311+G*_6-31+G*/NH3/NH3.nwout,107.42,1.02187
H2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-1.176585358,-738.3108421,8.195,-730.1158421,0,0,-100,1.5,1.9,0,./xpbe96 cpbe96_B3LYP/6-311+G*_6-311+G*/H2/H2.nwout,,0.7504
N2,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-109.5604469,-68749.50909,5.427,-68744.08209,0,0,-100,16.7,18,0,./xpbe96 cpbe96_B3LYP/6-311+G*_6-311+G*/N2/N2.nwout,,1.10714
NH3,xpbe96 cpbe96_B3LYP,PBE_B3,xpbe96 cpbe96,B3LYP,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-56.57352572,-35500.05711,23.675,-35476.38211,-9.167300435,-38.35598502,-16.52669201,28.4,30.8,50.7,./xpbe96 cpbe96_B3LYP/6-311+G*_6-311+G*/NH3/NH3.nwout,107.42,1.02187
H2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-1.126531963,-706.9021864,8.291,-698.6111864,0,0,-100,1.2,1.6,0,./xpbe96 cpbe96_HFexch/6-31+G*_6-31+G*/H2/H2.nwout,,0.75047
N2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-108.9422736,-68361.60354,5.443,-68356.16054,0,0,-100,11.9,13.4,0,./xpbe96 cpbe96_HFexch/6-31+G*_6-31+G*/N2/N2.nwout,,1.1162
NH3,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-56.18810023,-35258.20146,23.573,-35234.62846,-8.631412413,-36.11382954,-21.40624692,22,22.9,37.9,./xpbe96 cpbe96_HFexch/6-31+G*_6-31+G*/NH3/NH3.nwout,107.07,1.02575
H2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-1.127793438,-707.6937657,8.291,-699.4027657,0,0,-100,1.1,1.3,0,./xpbe96 cpbe96_HFexch/6-31+G*_6-311+G*/H2/H2.nwout,,0.75047
N2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-108.9674364,-68377.39323,5.443,-68371.95023,0,0,-100,11.9,13.1,0,./xpbe96 cpbe96_HFexch/6-31+G*_6-311+G*/N2/N2.nwout,,1.1162
NH3,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-56.20314578,-35267.64258,23.573,-35244.06958,-8.990322667,-37.61551004,-18.13817184,20.4,21.4,35.8,./xpbe96 cpbe96_HFexch/6-31+G*_6-311+G*/NH3/NH3.nwout,107.07,1.02575
H2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-1.126533903,-706.9034037,8.195,-698.7084037,0,0,-100,1.4,1.7,0,./xpbe96 cpbe96_HFexch/6-311+G*_6-31+G*/H2/H2.nwout,,0.7504
N2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-108.9442137,-68362.82094,5.427,-68357.39394,0,0,-100,16.1,17,0,./xpbe96 cpbe96_HFexch/6-311+G*_6-31+G*/N2/N2.nwout,,1.10714
NH3,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-56.18851174,-35258.45968,23.675,-35234.78468,-8.025108152,-33.57705251,-26.92698039,26,27.2,45.9,./xpbe96 cpbe96_HFexch/6-311+G*_6-31+G*/NH3/NH3.nwout,107.42,1.02187
H2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-1.127795183,-707.6948605,8.195,-699.4998605,0,0,-100,1.4,1.8,0,./xpbe96 cpbe96_HFexch/6-311+G*_6-311+G*/H2/H2.nwout,,0.7504
N2,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-108.9697364,-68378.83647,5.427,-68373.40947,0,0,-100,15.8,16.6,0,./xpbe96 cpbe96_HFexch/6-311+G*_6-311+G*/N2/N2.nwout,,1.10714
NH3,xpbe96 cpbe96_HFexch,PBE_HF,xpbe96 cpbe96,HFexch,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-56.2036212,-35267.94091,23.675,-35244.26591,-8.311383943,-34.77483042,-24.320282,26.7,28.1,46.5,./xpbe96 cpbe96_HFexch/6-311+G*_6-311+G*/NH3/NH3.nwout,107.42,1.02187
H2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-1.16197666,-729.1438398,8.291,-720.8528398,0,0,-100,1.3,1.7,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-31+G*_6-31+G*/H2/H2.nwout,,0.75047
N2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-109.4113102,-68655.9254,5.443,-68650.4824,0,0,-100,11.8,12.9,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-31+G*_6-31+G*/N2/N2.nwout,,1.1162
NH3,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-56.48013621,-35441.45491,23.573,-35417.88191,-11.36145322,-47.53632027,3.452274799,21.5,23,37.6,./xpbe96 cpbe96_xpbe96 cpbe96/6-31+G*_6-31+G*/NH3/NH3.nwout,107.07,1.02575
H2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-1.163156641,-729.8842818,8.291,-721.5932818,0,0,-100,1.2,1.5,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-31+G*_6-311+G*/H2/H2.nwout,,0.75047
N2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-109.4406797,-68674.35485,5.443,-68668.91185,0,0,-100,12.3,13.1,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-31+G*_6-311+G*/N2/N2.nwout,,1.1162
NH3,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-56.49607538,-35451.45679,23.573,-35427.88379,-11.03794242,-46.1827511,0.50653123,23,24.8,39.4,./xpbe96 cpbe96_xpbe96 cpbe96/6-31+G*_6-311+G*/NH3/NH3.nwout,107.07,1.02575
H2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-1.161976657,-729.143838,8.195,-720.948838,0,0,-100,1.6,2,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-311+G*_6-31+G*/H2/H2.nwout,,0.7504
N2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-109.4110912,-68655.78797,5.427,-68650.36097,0,0,-100,18.6,20.6,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-311+G*_6-31+G*/N2/N2.nwout,,1.10714
NH3,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-56.48010321,-35441.4342,23.675,-35417.7592,-11.15545812,-46.67443679,1.576576257,28.4,31.4,54,./xpbe96 cpbe96_xpbe96 cpbe96/6-311+G*_6-31+G*/NH3/NH3.nwout,107.42,1.02187
H2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-1.163156645,-729.8842841,8.195,-721.6892841,0,0,-100,1.5,1.8,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-311+G*_6-311+G*/H2/H2.nwout,,0.7504
N2,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-109.4408894,-68674.4864,5.427,-68669.0594,0,0,-100,16,17.3,0,./xpbe96 cpbe96_xpbe96 cpbe96/6-311+G*_6-311+G*/N2/N2.nwout,,1.10714
NH3,xpbe96 cpbe96_xpbe96 cpbe96,PBE_PBE,xpbe96 cpbe96,xpbe96 cpbe96,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-56.49610831,-35451.47746,23.675,-35427.80246,-10.73883054,-44.93126697,-2.217046855,27.3,28.9,48,./xpbe96 cpbe96_xpbe96 cpbe96/6-311+G*_6-311+G*/NH3/NH3.nwout,107.42,1.02187
