filename,ecut,nkpts,alat_1,alat_3,energy,cpu_time,energy per atom 
Fe_HCP_5.39_173_11_6.out,50,128,5.39,1.73,-658.4176207,246.7,-329.2088104
Fe_HCP_5.4_173_6_3.out,50,28,5.4,1.73,-658.4132026,76.8,-329.2066013
Fe_HCP_5.4_173_7_4.out,50,48,5.4,1.73,-658.4159998,144.7,-329.2079999
Fe_HCP_5.4_173_8_4.out,50,60,5.4,1.73,-658.4156142,139.2,-329.2078071
Fe_HCP_5.4_173_9_5.out,50,72,5.4,1.73,-658.4161179,137.8,-329.208059
Fe_HCP_5.4_173_10_5.out,50,84,5.4,1.73,-658.4156773,162.1,-329.2078386
Fe_HCP_5.4_173_11_6.out,50,128,5.4,1.73,-658.4157572,248.3,-329.2078786
Fe_HCP_5.41_173_6_3.out,50,28,5.41,1.73,-658.4113234,79.5,-329.2056617
Fe_HCP_5.41_173_7_4.out,50,48,5.41,1.73,-658.4140652,111.9,-329.2070326
Fe_HCP_5.41_173_8_4.out,50,60,5.41,1.73,-658.4136984,130.2,-329.2068492
Fe_HCP_5.41_173_9_5.out,50,72,5.41,1.73,-658.4142416,156.6,-329.2071208
Fe_HCP_5.41_173_10_5.out,50,84,5.41,1.73,-658.4137425,167.2,-329.2068712
Fe_HCP_5.41_173_11_6.out,50,128,5.41,1.73,-658.4138203,235.5,-329.2069101
Fe_HCP_5.42_173_6_3.out,50,28,5.42,1.73,-658.4100283,88.3,-329.2050141
Fe_HCP_5.42_173_7_4.out,50,48,5.42,1.73,-658.4129867,95,-329.2064934
Fe_HCP_5.42_173_8_4.out,50,60,5.42,1.73,-658.4124522,118.8,-329.2062261
Fe_HCP_5.42_173_9_5.out,50,72,5.42,1.73,-658.4131003,119.5,-329.2065502
Fe_HCP_5.42_173_10_5.out,50,84,5.42,1.73,-658.4124858,187.2,-329.2062429
Fe_HCP_5.42_173_11_6.out,50,128,5.42,1.73,-658.4127079,267.5,-329.2063539
Fe_HCP_5.43_173_6_3.out,50,28,5.43,1.73,-658.4056721,61.3,-329.202836
Fe_HCP_5.43_173_7_4.out,50,48,5.43,1.73,-658.409197,108.9,-329.2045985
Fe_HCP_5.43_173_8_4.out,50,60,5.43,1.73,-658.4083649,221.4,-329.2041824
Fe_HCP_5.43_173_9_5.out,50,72,5.43,1.73,-658.4093044,131.3,-329.2046522
Fe_HCP_5.43_173_10_5.out,50,84,5.43,1.73,-658.4084262,222,-329.2042131
Fe_HCP_5.43_173_11_6.out,50,128,5.43,1.73,-658.4088861,213.1,-329.2044431
Fe_HCP_5.44_173_6_3.out,50,28,5.44,1.73,-658.4033817,81.1,-329.2016909
Fe_HCP_5.44_173_7_4.out,50,48,5.44,1.73,-658.407042,113.8,-329.203521
Fe_HCP_5.44_173_8_4.out,50,60,5.44,1.73,-658.4061668,111.7,-329.2030834
Fe_HCP_5.44_173_9_5.out,50,72,5.44,1.73,-658.4072097,148.2,-329.2036048
Fe_HCP_5.44_173_10_5.out,50,84,5.44,1.73,-658.4062212,200.7,-329.2031106
Fe_HCP_5.44_173_11_6.out,50,128,5.44,1.73,-658.4067228,3214.6,-329.2033614
Fe_HCP_5.45_173_6_3.out,50,28,5.45,1.73,-658.4012305,102.1,-329.2006152
Fe_HCP_5.45_173_7_4.out,50,48,5.45,1.73,-658.404892,108.1,-329.202446
Fe_HCP_5.45_173_8_4.out,50,60,5.45,1.73,-658.4038753,115.9,-329.2019376
Fe_HCP_5.45_173_9_5.out,50,72,5.45,1.73,-658.4050062,131.3,-329.2025031
Fe_HCP_5.45_173_10_5.out,50,84,5.45,1.73,-658.4040126,259.3,-329.2020063
Fe_HCP_5.45_173_11_6.out,50,128,5.45,1.73,-658.4044905,194.3,-329.2022452
Fe_HCP_5.46_173_6_3.out,50,28,5.46,1.73,-658.3988013,95.1,-329.1994006
Fe_HCP_5.46_173_7_4.out,50,48,5.46,1.73,-658.4025748,123.6,-329.2012874
Fe_HCP_5.46_173_8_4.out,50,60,5.46,1.73,-658.4015802,119.9,-329.2007901
Fe_HCP_5.46_173_9_5.out,50,72,5.46,1.73,-658.4027689,155.6,-329.2013844
Fe_HCP_5.46_173_10_5.out,50,84,5.46,1.73,-658.4016721,205.3,-329.2008361
Fe_HCP_5.46_173_11_6.out,50,128,5.46,1.73,-658.4021907,215,-329.2010954
